Title,Price,Rating,Availability
Sharp Objects,£47.82,Four,In stock
The Past Never Ends,£56.50,Four,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock
The Girl You Lost,£12.29,Five,In stock
